"id_vaga","titulo_vaga","modalidade_vaga","nome","codigo_candidato","situacao_candidato","data_candidatura","ultima_atualizacao","comentario","recrutador"
"4537","PMO Practitioner - 11744940","","Gustavo Henrique Cirino","22662","Prospect","12-03-2021","12-03-2021","","Dra. Luara Siqueira"
"4537","PMO Practitioner - 11744940","","Vitor Hugo Garcia","22626","Encaminhado ao Requisitante","12-03-2021","15-03-2021","Pretensão CLT R$ 8.000 Margem 35% Venda R$ 107/h","Dra. Luara Siqueira"
"4537","PMO Practitioner - 11744940","","Dr. Matteo Camargo","22608","Encaminhado ao Requisitante","12-03-2021","15-03-2021","Pretensão CLT R$ 6.500 Margem 35% Venda R$ 89/h","Dra. Luara Siqueira"
"4537","PMO Practitioner - 11744940","","Ravi Lucca Pereira","22607","Encaminhado ao Requisitante","12-03-2021","15-03-2021","Pretensão CLT R$ 8.000 Margem 35% Venda R$ 107/h","Dra. Luara Siqueira"
"4537","PMO Practitioner - 11744940","","Mariah Souza","14591","Encaminhado ao Requisitante","12-03-2021","15-03-2021","Pretensão CLT R$ 10.000 Margem 35% Venda R$ 131/h","Dra. Luara Siqueira"
"4542","Desenvolvedor Java Spring - 11730086","","Dr. Henry Gabriel Nogueira","23624","Prospect","17-03-2021","17-03-2021","","Manuella Carvalho"
"4543","Java EE Hybris - 11753315","","Ana Carolina Viana","26560","Inscrito","09-05-2021","","","Caroline Machado"
"4543","Java EE Hybris - 11753315","","Dr. Pietro Dias","25322","Prospect","22-03-2021","22-03-2021","","Carolina Araújo"
"4544","Datastage - 11739197","","Liam Borges","24309","Prospect","15-03-2021","15-03-2021","","Ana Lívia Moreira"
"4544","Datastage - 11739197","","Srta. Sara da Mota","22085","Encaminhado ao Requisitante","13-03-2021","15-03-2021","Encaminhado para - CLT. R$12.000,00 – Tx.154,00 – Margem 35%","Ana Lívia Moreira"
"4544","Datastage - 11739197","","Sr. Miguel Sampaio","19972","Contratado pela Decision","16-03-2021","11-05-2021","confirmado inicio","Ana Lívia Moreira"
"4544","Datastage - 11739197","","Ayla Vieira","18121","Prospect","15-03-2021","15-03-2021","","Ana Lívia Moreira"
"4545","Programador JAVA Senior","","Noah Silva","25310","Prospect","15-03-2021","15-03-2021","","Luara Câmara"
"4545","Programador JAVA Senior","","Pietra Sá","25268","Prospect","12-03-2021","12-03-2021","","Ana Camargo"
"4545","Programador JAVA Senior","","Srta. Maria Liz Vieira","25267","Encaminhado ao Requisitante","12-03-2021","12-03-2021","Pretensão R$ 11.000,00 CLT.","Carolina Araújo"
"4545","Programador JAVA Senior","","Srta. Eloá Barros","25262","Encaminhado ao Requisitante","12-03-2021","12-03-2021","CV encaminhado para a Neca. Pretensão salarial R$ 8.000 Disp 20 dias.","Luara Câmara"
"4545","Programador JAVA Senior","","Ana Vitória Viana","25260","Prospect","12-03-2021","12-03-2021","","Carolina Araújo"
"4545","Programador JAVA Senior","","Enzo Farias","25255","Encaminhado ao Requisitante","12-03-2021","12-03-2021","CV enviado para a Neca, vaga Infoserver, projeto porto seguro. Pretensão salarial R$ 12.000 - negociável. Disp Imediata","Luara Câmara"
"4545","Programador JAVA Senior","","Liz Carvalho","25194","Prospect","12-03-2021","12-03-2021","","Luara Câmara"
"4545","Programador JAVA Senior","","Sr. Diogo Casa Grande","25026","Encaminhado ao Requisitante","12-03-2021","12-03-2021","R$6.000 - CLT","Ana Camargo"
"4545","Programador JAVA Senior","","Gustavo Almeida","24970","Prospect","12-03-2021","12-03-2021","","Ana Camargo"
"4545","Programador JAVA Senior","","Dr. Mateus Mendes","24239","Encaminhado ao Requisitante","12-03-2021","12-03-2021","13.000 clt","Agatha Montenegro"
"4545","Programador JAVA Senior","","Vitor Gabriel Jesus","23516","Prospect","12-03-2021","12-03-2021","","Ana Camargo"
"4545","Programador JAVA Senior","","Sra. Aurora Novais","21643","Não Aprovado pelo RH","19-03-2021","19-03-2021","Candidato retornou dizendo que fechou com uma empresa recentemente.","Carolina Araújo"
"4545","Programador JAVA Senior","","Luigi Sousa","21396","Prospect","12-03-2021","12-03-2021","","Luara Câmara"
"4545","Programador JAVA Senior","","Dr. Vitor Gabriel Lopes","19483","Encaminhado ao Requisitante","12-03-2021","12-03-2021","CLT R$12.000","Ana Camargo"
"4545","Programador JAVA Senior","","Maria Cecília Brito","15247","Não Aprovado pelo Requisitante","12-03-2021","12-03-2021","Projeto Porto Seguro aceita apenas CLT.","Ana Camargo"
"4545","Programador JAVA Senior","","Sr. Enzo Sousa","388","Encaminhado ao Requisitante","12-03-2021","12-03-2021","CLT R$13.000","Ana Camargo"
"4546","Java SR, PL -2021-2602800","","Sra. Helena Sales","25666","Contratado pela Decision","26-03-2021","27-04-2021","","Ana Camargo"
"4546","Java SR, PL -2021-2602800","","Sr. Marcos Vinicius da Rocha","25636","Contratado pela Decision","25-03-2021","04-05-2021","contratado pela Decision","Ana Camargo"
"4546","Java SR, PL -2021-2602800","","Nicolas Cavalcante","25264","Contratado pela Decision","12-03-2021","05-04-2021","","Srta. Bella Ferreira"
"4546","Java SR, PL -2021-2602800","","Dr. Thales Sá","24988","Prospect","12-03-2021","12-03-2021","","Ana Camargo"
"4546","Java SR, PL -2021-2602800","","Srta. Melina Silva","24979","Prospect","12-03-2021","12-03-2021","","Ana Camargo"
"4546","Java SR, PL -2021-2602800","","Carlos Eduardo Rezende","24928","Não Aprovado pelo Requisitante","12-03-2021","17-03-2021","budget acima do projeto","Ana Camargo"
"4547","recrutadora","","Pietro Cirino","22845","Encaminhado ao Requisitante","17-03-2021","17-03-2021","","Ana Camargo"
"4550","Analista QA/Testes – PL","","Dra. Maria Luiza Macedo","26354","Não Aprovado pelo Cliente","29-04-2021","26-05-2021","Não compareceu na entrevista","Stella Vieira"
"4550","Analista QA/Testes – PL","","João Guilherme Fonseca","25334","Encaminhado ao Requisitante","16-03-2021","16-03-2021","","Juliana Cassiano"
"4550","Analista QA/Testes – PL","","Sra. Heloisa Martins","25303","Encaminhado ao Requisitante","14-03-2021","15-03-2021","","Juliana Cassiano"
"4550","Analista QA/Testes – PL","","Alana Câmara","3081","Encaminhado ao Requisitante","14-03-2021","15-03-2021","","Juliana Cassiano"
"4551","J&J -2021-2597245-Cloud-PaaS-AWS-Amazon Web Services-Lead","","Oliver Castro","25363","Não Aprovado pelo Cliente","17-03-2021","19-03-2021","Edivaldo does not have the necessary skills for this profile. We is a mismatch.","Juliana Cassiano"
"4552","2021 2607932-DEV JAVASCRIPT Sr-","","Srta. Luana Correia","25631","Encaminhado ao Requisitante","25-03-2021","25-03-2021","encaminhado para - PJ51,00/hora","Ana Lívia Moreira"
"4553","Product Owner Loyalty","","Dra. Sofia Dias","25598","Encaminhado ao Requisitante","24-03-2021","24-03-2021","CV enviado para Eduard. Pretensão R$ 50h PJ Disp imediata","Luara Câmara"
"4553","Product Owner Loyalty","","Mariana Teixeira","25338","Prospect","16-03-2021","16-03-2021","","Luara Câmara"
"4553","Product Owner Loyalty","","Hadassa da Cruz","25336","Prospect","16-03-2021","16-03-2021","","Luara Câmara"
"4553","Product Owner Loyalty","","Liz Cunha","25325","Não Aprovado pelo Cliente","15-03-2021","24-03-2021","CV não aprovado pelo cliente. Não tem expertise em programa de fidelidade e cartões.","Luara Câmara"
"4553","Product Owner Loyalty","","Igor da Cruz","25158","Não Aprovado pelo RH","17-03-2021","17-03-2021","Não tem interesse em oportunidade PJ ou CLT cotas.","Luara Câmara"
"4553","Product Owner Loyalty","","Lucas Gabriel Vieira","25157","Encaminhado ao Requisitante","17-03-2021","17-03-2021","CV encaminhado para Eduardo. Vaga Stix Pretensão salarial R$ 9500, disp 10 dias","Luara Câmara"
"4553","Product Owner Loyalty","","Dra. Ana Lívia Vasconcelos","24788","Encaminhado ao Requisitante","12-03-2021","12-03-2021","","Carolina Araújo"
"4553","Product Owner Loyalty","","Ana Pacheco","24374","Prospect","15-03-2021","15-03-2021","","Luara Câmara"
"4553","Product Owner Loyalty","","Levi Sampaio","3779","Não Aprovado pelo RH","15-03-2021","15-03-2021","Profissional está com o valor de R$ 10.000 CLT + R$ 1000 de VR e plano médico e odonto. Não trabalhou com projetos de pontos. Não tem interesse em atuar com PJ","Luara Câmara"
"4554","Recrutador Cloud","","Felipe Novais","26182","Não Aprovado pelo RH","16-04-2021","19-04-2021","Não tem perfil ou experiência na área","Dra. Luara Siqueira"
"4554","Recrutador Cloud","","Erick Guerra","25604","Não Aprovado pelo Requisitante","24-03-2021","08-04-2021","Avaliação : fora do perfil","Dra. Luara Siqueira"
"4554","Recrutador Cloud","","Olivia Almeida","25603","Não Aprovado pelo Requisitante","24-03-2021","03-05-2021","Reprovado pela sem justificativa","Dra. Luara Siqueira"
"4554","Recrutador Cloud","","Emilly Teixeira","25371","Desistiu","17-03-2021","17-03-2021","Informou que inglês é básico","Dra. Luara Siqueira"
"4554","Recrutador Cloud","","Srta. Maria Isis Cardoso","25369","Desistiu","17-03-2021","17-03-2021","Informou que o inglês é intermediário","Dra. Luara Siqueira"
"4554","Recrutador Cloud","","Maria Liz Aragão","25368","Não Aprovado pelo RH","17-03-2021","22-03-2021","Pretensão CLT R$ 12.000","Dra. Luara Siqueira"
"4554","Recrutador Cloud","","Dr. Rhavi Freitas","25346","Contratado pela Decision","16-03-2021","17-05-2021","","Dra. Luara Siqueira"
"4554","Recrutador Cloud","","Sr. Apollo Sá","24487","Desistiu","15-03-2021","15-03-2021","Acabou de aceitar outra oferta","Dra. Luara Siqueira"
"4554","Recrutador Cloud","","Srta. Rebeca Aragão","24432","Desistiu","15-03-2021","15-03-2021","Não tem interesse no momento","Dra. Luara Siqueira"
"4556","Dev Java - Full Stack - Sr -RE-320296","","Pietra Sá","25268","Encaminhado ao Requisitante","12-03-2021","15-03-2021","","Ana Camargo"
"4556","Dev Java - Full Stack - Sr -RE-320296","","Vitor Gabriel Jesus","23516","Encaminhado ao Requisitante","12-03-2021","15-03-2021","","Ana Camargo"
"4556","Dev Java - Full Stack - Sr -RE-320296","","Dra. Isis Aragão","21060","Prospect","17-03-2021","17-03-2021","","Agatha Montenegro"
"4556","Dev Java - Full Stack - Sr -RE-320296","","Ana Luiza Pastor","9048","Prospect","25-03-2021","25-03-2021","","Ana Camargo"
"4557","11756083 - Oracle","","Dr. Pietro Dias","25322","Encaminhado ao Requisitante","15-03-2021","15-03-2021","","Emanuelly Vieira"
"4557","11756083 - Oracle","","João Guilherme Pastor","20093","Encaminhado ao Requisitante","17-03-2021","19-03-2021","","Emanuelly Vieira"
"4558","Desenvolvedor Front End - MSC","","Leonardo Silva","25675","Não Aprovado pelo Requisitante","30-03-2021","01-04-2021","Projeto não aprovou a candidata: ""Infelizmente a candidata não tem conhecimentos mínimos p/ vaga Node.JS, ReactJS, Gastby ou NextJS.""","Bruna Aparecida"
"4558","Desenvolvedor Front End - MSC","","Theo Peixoto","21052","Não Aprovado pelo Cliente","13-04-2021","23-04-2021","Candidato reprovado após entrevista, Segue retorno do projeto: precisamos de pessoas com mais experiência profissional mesmo p/ vaga, como Node.js, React.js, Next.js (ou gastby).","Bruna Aparecida"
"4559","Arquiteto/consultor de Data Analytics","","Hellena Pacheco","25361","Encaminhado ao Requisitante","17-03-2021","17-03-2021","","Juliana Cassiano"
"4559","Arquiteto/consultor de Data Analytics","","Sarah Cavalcanti","22553","Encaminhado ao Requisitante","24-03-2021","24-03-2021","","Juliana Cassiano"
"4559","Arquiteto/consultor de Data Analytics","","Bárbara da Cunha","20903","Encaminhado ao Requisitante","01-04-2021","01-04-2021","","Juliana Cassiano"
"4561","4329978 - SAP FI","","Dr. Thiago Montenegro","18077","Contratado pela Decision","31-03-2021","31-03-2021","","Carlos Eduardo Ribeiro"
"4562","4329025 - SAP MM","","Luiz Miguel Santos","24899","Contratado pela Decision","12-03-2021","12-03-2021","","Carlos Eduardo Ribeiro"
"4564","4324369 AS 400","","Mariah Cavalcanti","25030","Contratado pela Decision","31-03-2021","31-03-2021","","Paulo Peixoto"
"4565","Dev Java - Sr - RE-320297","","Gabriel Cirino","26228","Encaminhado ao Requisitante","20-04-2021","20-04-2021","CLT: R$ 12.000 Disp: 15 dias","Stella Vieira"
"4565","Dev Java - Sr - RE-320297","","Kaique Gomes","22767","Encaminhado ao Requisitante","20-04-2021","20-04-2021","","Emanuelly Vieira"
"4565","Dev Java - Sr - RE-320297","","Ana Carolina Leão","19075","Encaminhado ao Requisitante","17-03-2021","17-03-2021","","Emanuelly Vieira"
"4566","4297444 - Cobol SR","","Sr. Davi Lucca Lima","25269","Desistiu","12-03-2021","12-03-2021","","Dr. Luan Sá"
"4566","4297444 - Cobol SR","","Yasmin da Costa","20393","Contratado pela Decision","12-03-2021","22-06-2021","","Dr. Luan Sá"
"4567","Analista Mainframe -2021-2597240","","Catarina Ramos","25810","Inscrito","30-03-2021","","","Caroline Machado"
"4567","Analista Mainframe -2021-2597240","","Sra. Ana Cecília Fernandes","25679","Inscrito","27-03-2021","","","Caroline Machado"
"4567","Analista Mainframe -2021-2597240","","Dra. Emanuella Rodrigues","25100","Encaminhado ao Requisitante","16-03-2021","16-03-2021","7000","Agatha Montenegro"
"4567","Analista Mainframe -2021-2597240","","Sr. Isaque Rezende","23287","Inscrito","31-03-2021","","","Caroline Machado"
"4567","Analista Mainframe -2021-2597240","","Bruna Moraes","5191","Encaminhado ao Requisitante","16-03-2021","16-03-2021","6.000 clt","Agatha Montenegro"
"4567","Analista Mainframe -2021-2597240","","Luísa Alves","4015","Encaminhado ao Requisitante","16-03-2021","16-03-2021","9.000 + 1000 de vt","Agatha Montenegro"
"4568","Analista Mainframe -2021-2596331","","Emilly Monteiro","25383","Encaminhado ao Requisitante","17-03-2021","17-03-2021","","Srta. Bella Ferreira"
"4568","Analista Mainframe -2021-2596331","","Sr. Davi Lucca Montenegro","25348","Não Aprovado pelo Cliente","16-03-2021","31-05-2021","reject - Não gostamos do CV (desde 2008 não atua como desenvolvedor, tendo realizado alguns trabalhos de performance)","Ana Lívia Moreira"
"4568","Analista Mainframe -2021-2596331","","Dr. Rael Cunha","25326","Não Aprovado pelo Cliente","15-03-2021","31-05-2021","declined - Recusou a entrevista (28/05/2021).","Ana Lívia Moreira"
"4568","Analista Mainframe -2021-2596331","","Juliana Peixoto","5115","Encaminhado ao Requisitante","17-03-2021","17-03-2021","","Yasmin da Rosa"
"4569","IND - gerente de projetos","Cooperado","Jade Alves","25953","Inscrito","06-04-2021","","","Caroline Machado"
"4569","IND - gerente de projetos","Cooperado","Ana Vitória Castro","25921","Inscrito","05-04-2021","","","Caroline Machado"
"4569","IND - gerente de projetos","Cooperado","Ana Cecília Mendes","25319","Contratado pela Decision","15-03-2021","08-04-2021","","Ana Camargo"
"4570","Consultor SAP SD – SR","","Ravy da Mota","25347","Encaminhado ao Requisitante","16-03-2021","16-03-2021","","Srta. Bella Ferreira"
"4570","Consultor SAP SD – SR","","Ryan Abreu","25123","Encaminhado ao Requisitante","16-03-2021","16-03-2021","","Srta. Bella Ferreira"
"4570","Consultor SAP SD – SR","","Ana Sophia Pereira","21558","Inscrito","17-03-2021","","","Caroline Machado"
"4571","SAP ABAP PI - 20217613874","","Dr. Gael Leão","25925","Inscrito","05-04-2021","","","Caroline Machado"
"4571","SAP ABAP PI - 20217613874","","José Pedro Moreira","25906","Inscrito","03-04-2021","","","Caroline Machado"
"4571","SAP ABAP PI - 20217613874","","Ana Sophia Pereira","21558","Inscrito","07-04-2021","","","Caroline Machado"
"4572","Analista DBA – SR","","Sr. Guilherme Azevedo","21871","Encaminhado ao Requisitante","26-04-2021","27-04-2021","PRETENSÃO SALARIAL: R$ 71,42 PJ Encaminhado para CLIENTE:","Manuella Carvalho"
"4573","Data Engineering - 11723180","","Nina Câmara","25458","Prospect","19-03-2021","19-03-2021","","Luara Câmara"
"4573","Data Engineering - 11723180","","Sr. Gabriel Fernandes","24224","Prospect","19-03-2021","19-03-2021","","Luara Câmara"
"4573","Data Engineering - 11723180","","Daniel Rezende","21257","Não Aprovado pelo RH","19-03-2021","19-03-2021","Não está avaliando novas oportunidades.","Luara Câmara"
"4573","Data Engineering - 11723180","","Diego da Mata","20379","Não Aprovado pelo RH","19-03-2021","19-03-2021","Disse que está no meio de um projeto e por esse motivo não tem interesse no momento.","Luara Câmara"
"4573","Data Engineering - 11723180","","Dra. Brenda Azevedo","9089","Prospect","01-04-2021","01-04-2021","","Carolina Araújo"
"4574","Desenvolvedor Back end - MSC","","Juan Araújo","24992","Não Aprovado pelo Cliente","16-06-2021","22-06-2021","Pelos conhecimentos fornecidos no curriculo do candidato e também ao seu repositório no GitHub, o mesmo não possui conhecimentos necessários como: React, SASS, ES6+, Gastby e outros fundamentos de desenvolvimento WEB","Bruna Aparecida"
"4574","Desenvolvedor Back end - MSC","","Sabrina da Paz","24960","Desistiu","08-04-2021","17-06-2021","","Sra. Joana Sousa"
"4576","UNIX Administration - 11764469","","Aylla Alves","25590","Encaminhado ao Requisitante","24-03-2021","24-03-2021","","Juliana Cassiano"
"4576","UNIX Administration - 11764469","","Dr. Levi Porto","18847","Encaminhado ao Requisitante","23-03-2021","23-03-2021","","Juliana Cassiano"
"4576","UNIX Administration - 11764469","","Melissa Rodrigues","18348","Encaminhado ao Requisitante","17-03-2021","17-03-2021","","Juliana Cassiano"
"4576","UNIX Administration - 11764469","","Sra. Maria Laura Costa","13500","Encaminhado ao Requisitante","23-03-2021","23-03-2021","","Juliana Cassiano"
"4577","Business Operations - PMO Practitioner - 11766455","","Dra. Jade da Mata","25376","Encaminhado ao Requisitante","17-03-2021","17-03-2021","","Yasmin da Rosa"
"4577","Business Operations - PMO Practitioner - 11766455","","Daniela Ribeiro","23261","Encaminhado ao Requisitante","25-03-2021","25-03-2021","","Yasmin da Rosa"
"4578","Scrum Master - 11766973","","Sr. Marcos Vinicius da Costa","25380","Encaminhado ao Requisitante","17-03-2021","17-03-2021","Encaminhado para - CLT R$8.500,00 – Tx.112,00 – Margem 35% - não tem empresa aberta","Ana Lívia Moreira"
"4578","Scrum Master - 11766973","","Nathan Brito","25379","Encaminhado ao Requisitante","17-03-2021","17-03-2021","Encaminhado para - CLT R$4.000,00 – Tx.56,00 – Margem 35%","Ana Lívia Moreira"
"4581","Analista Contabil - 11766820","","Leandro Cunha","25526","Encaminhado ao Requisitante","22-03-2021","22-03-2021","Pretensão R$ 1650,00 + Benefícios da . Taxa de Venda R$ 29,00 / Mark up 35%.","Carolina Araújo"
"4581","Analista Contabil - 11766820","","Sr. Eduardo Abreu","25515","Prospect","22-03-2021","22-03-2021","","Carolina Araújo"
"4581","Analista Contabil - 11766820","","Dr. Gustavo Henrique Viana","25356","Prospect","16-03-2021","16-03-2021","","Carolina Araújo"
"4581","Analista Contabil - 11766820","","Isabelly Duarte","25318","Encaminhado ao Requisitante","16-03-2021","18-03-2021","Valor R$ 4.300,00 CLT + VT R$ 510,30 (2 cond) - Taxa Venda R$ 63,00 / Mark up 35%.","Carolina Araújo"
"4582","Visual Designer PL/SR","","Dra. Maria Cecília Marques","25557","Encaminhado ao Requisitante","23-03-2021","23-03-2021","","Sra. Joana Sousa"
"4582","Visual Designer PL/SR","","Dra. Pietra Camargo","25543","Encaminhado ao Requisitante","24-03-2021","24-03-2021","","Dr. Luan Sá"
"4583","UX Designer PL/SR","","Ana Beatriz Camargo","25512","Encaminhado ao Requisitante","24-03-2021","24-03-2021","","Dr. Luan Sá"
"4583","UX Designer PL/SR","","Júlia Alves","25407","Encaminhado ao Requisitante","18-03-2021","18-03-2021","","Paulo Peixoto"
"4583","UX Designer PL/SR","","Sra. Fernanda da Conceição","25377","Encaminhado ao Requisitante","18-03-2021","18-03-2021","","Paulo Peixoto"
"4584","SAP IBP","","Sr. Thomas Teixeira","25385","Encaminhado ao Requisitante","17-03-2021","18-03-2021","","Srta. Bella Ferreira"
"4584","SAP IBP","","Kaique da Mota","25381","Não Aprovado pelo RH","17-03-2021","17-03-2021","A é parceira da consultoria que o profissional atua, sendo assim não posso envolvê-lo no processo.","Srta. Bella Ferreira"
"4585","Analista Contabil - 11766850","","Srta. Clara Novais","25477","Não Aprovado pelo Cliente","19-03-2021","25-03-2021","","Eloah Leão"
"4585","Analista Contabil - 11766850","","Luiz Henrique Dias","25472","Prospect","19-03-2021","19-03-2021","","Luara Câmara"
"4585","Analista Contabil - 11766850","","Mateus Almeida","25462","Encaminhado ao Requisitante","19-03-2021","19-03-2021","CV encaminhado para Marcus Campos. R$1.650,00 (Valor da vaga) Margem 35% Taxa venda 30,00","Luara Câmara"
"4585","Analista Contabil - 11766850","","Miguel Garcia","25453","Não Aprovado pelo RH","19-03-2021","19-03-2021","Não aceitou por achar o salário muito baixo. Pretensão salarial R$ 2000","Luara Câmara"
"4585","Analista Contabil - 11766850","","Lavínia da Mota","25410","Prospect","18-03-2021","18-03-2021","","Luara Câmara"
"4585","Analista Contabil - 11766850","","Dra. Maria Sales","25409","Não Aprovado pelo RH","18-03-2021","19-03-2021","Não tem interesse em novas oportunidades.","Luara Câmara"
"4585","Analista Contabil - 11766850","","Ana Clara Cardoso","25408","Prospect","18-03-2021","18-03-2021","","Luara Câmara"
"4586","Java Developer - 11766444","","Dr. Pietro Dias","25322","Encaminhado ao Requisitante","22-03-2021","22-03-2021","Pretensão R$ 10.000,00 CLT / Taxa de Venda R$ 125,00 / Mark up 32% - Benefícios da .","Carolina Araújo"
"4587","Java Developer - 11763488","","Henry Gabriel Souza","25911","Prospect","05-04-2021","05-04-2021","","Manuella Carvalho"
"4587","Java Developer - 11763488","","Dra. Rebeca Montenegro","22779","Encaminhado ao Requisitante","29-03-2021","29-03-2021","PRETENSÃO SALARIAL: R$ 10.000,00 Encaminhado para CLIENTE:","Manuella Carvalho"
"4588","JAVA Developer - 11762508","","Dr. Pietro Dias","25322","Prospect","22-03-2021","22-03-2021","","Carolina Araújo"
